typeID	物品名称
18	斜长岩
19	灰岩
20	水硼砂
21	同位原矿
22	艾克诺岩
25	可拾取物
34	三钛合金
35	类晶体胶矿
36	类银超金属
37	同位聚合体
38	超新星诺克石
39	晶状石英核岩
40	超噬矿
41	垃圾
42	香料汽水
43	抗生素
44	核能燃料
45	冷藏植物种子
178	碳铅弹 S
179	核芯弹 S
180	质子弹 S
181	硬钼弹 S
182	钛合金萨博弹 S
183	聚变弹 S
184	定相等离子弹 S
185	电磁脉冲弹 S
186	碳铅弹 M
187	核芯弹 M
188	质子弹 M
189	硬钼弹 M
190	钛合金萨博弹 M
191	聚变弹 M
192	定相等离子弹 M
193	电磁脉冲弹 M
194	碳铅弹 L
195	核芯弹 L
196	质子弹 L
197	硬钼弹 L
198	钛合金萨博弹 L
199	聚变弹 L
200	定相等离子弹 L
201	电磁脉冲弹 L
202	雷神巡航导弹
203	鞭挞巡航导弹
204	炼狱巡航导弹
205	星爆巡航导弹
206	星爆重型导弹
207	雷神重型导弹
208	炼狱重型导弹
209	鞭挞重型导弹
210	鞭挞轻型导弹
211	炼狱轻型导弹
212	雷神轻型导弹
213	星爆轻型导弹
215	铁质轨道弹 S
216	钨质轨道弹 S
217	铱质轨道弹 S
218	铅质轨道弹 S
219	钍质轨道弹 S
220	钼质轨道弹 S
221	锰质轨道弹 S
222	反物质轨道弹 S
223	铁质轨道弹 M
224	钨质轨道弹 M
225	铱质轨道弹 M
226	铅质轨道弹 M
227	钍质轨道弹 M
228	钼质轨道弹 M
229	锰质轨道弹 M
230	反物质轨道弹 M
231	铁质轨道弹 L
232	钨质轨道弹 L
233	铱质轨道弹 L
234	铅质轨道弹 L
235	钍质轨道弹 L
236	钼质轨道弹 L
237	锰质轨道弹 L
238	反物质轨道弹 L
239	射频晶体 S
240	微波晶体 S
241	红外晶体 S
242	标准晶体 S
243	紫外晶体 S
244	X射线晶体 S
245	伽玛晶体 S
246	多频晶体 S
247	射频晶体 M
248	微波晶体 M
249	红外晶体 M
250	标准晶体 M
251	紫外晶体 M
252	X射线晶体 M
253	伽玛晶体 M
254	多频晶体 M
255	射频晶体 L
256	微波晶体 L
257	红外晶体 L
258	标准晶体 L
259	紫外晶体 L
260	X射线晶体 L
261	伽玛晶体 L
262	多频晶体 L
263	电容注电器装料 25
264	电容注电器装料 50
266	鞭挞火箭
267	鞭挞鱼雷
269	雷神自动锁定轻型导弹 I
377	小型护盾扩展装置 I
380	小型护盾扩展装置 II
393	护盾回充器 I
394	护盾回充器 II
399	小型护盾回充增量器 I
400	小型护盾回充增量器 II
405	微型远程护盾回充增量器
421	基础型电容回充器
434	5MN微型跃迁推进器 I
438	1MN加力燃烧器 II
439	1MN加力燃烧器 I
440	5MN微型跃迁推进器 II
442	货柜扫描器 I
443	船体扫描器 I
444	测量扫描器 I
447	跃迁扰频器 I
448	跃迁扰频器 II
450	加特林脉冲激光器 I
451	双联轻型脉冲激光器 I
452	双联轻型集束激光器 I
453	小型聚焦脉冲激光器 I
454	小型聚焦集束激光器 I
455	四联轻型集束激光器 I
456	聚焦中型脉冲激光器 I
457	聚焦中型集束激光器 I
458	重型脉冲激光器 I
459	重型集束激光器 I
460	双联重型脉冲激光器 I
461	双联重型集束激光器 I
462	超级脉冲激光器 I
463	超级集束激光器 I
464	超光速粒子集束激光器 I
482	采矿器 II
483	采矿器 I
484	125mm加特林自动加农炮 I
485	150mm轻型自动加农炮 I
486	200mm自动加农炮 I
487	250mm轻型加农炮 I
488	280mm榴弹炮 I
489	双联180mm自动加农炮 I
490	220mm火神自动加农炮 I
491	425mm自动加农炮 I
492	650mm加农炮 I
493	720mm榴弹炮 I
494	双联425mm自动加农炮 I
495	双联650mm频射加农炮 I
496	800mm频射加农炮 I
497	1200mm加农火炮 I
498	1400mm榴弹炮 I
499	轻型导弹发射器 I
501	重型导弹发射器 I
503	鱼雷发射器 I
506	基础型电容能源继电器
508	基础护盾通量线圈
509	基础型电容通量线圈
518	基础型回转稳定器
519	回转稳定器 II
520	回转稳定器 I
521	基础型损伤控制
522	微型电容器电池
523	小型装甲维修器 I
524	小型结构维修器 I
526	停滞缠绕光束 I
527	停滞缠绕光束 II
529	小型远程电容传输装置 I
530	小型掠能器 I
533	小型能量中和器 I
561	75mm加特林磁轨炮 I
562	轻型电子疾速炮 I
563	轻型离子疾速炮 I
564	轻型中子疾速炮 I
565	150mm磁轨炮 I
566	重型电子疾速炮 I
567	双联150mm磁轨炮 I
568	重型中子疾速炮 I
569	重型离子疾速炮 I
570	250mm磁轨炮 I
571	电子疾速加农炮 I
572	双联250mm磁轨炮 I
573	中子疾速加农炮 I
574	425mm磁轨炮 I
575	离子疾速加农炮 I
577	中型电容注电器 I
578	多谱式护盾增强器 I
580	脉冲干扰器 I
581	被动锁定器 I
582	矮脚鸡级
583	秃鹫级
584	狮鹫级
585	伐木者级
586	探索级
587	裂谷级
588	死神号
589	刽子手级
590	检察官级
591	巨神兵级
592	纳维达斯级
593	特里斯坦级
594	因卡萨斯级
596	帝国号
597	惩罚者级
598	分裂者级
599	爆发级
601	伊毕斯号
602	茶隼级
603	小鹰级
605	苍鹭级
606	维拉托尔号
607	伊米卡斯级
608	阿特龙级
609	毛鲁斯级
615	因莫雷特级
617	回声级
620	鱼鹰级
621	狞獾级
622	刺刀级
623	巨鸟级
624	暴君级
625	奥格诺级
626	狂怒者级
627	托勒克斯级
628	主宰级
629	断崖级
630	挑战级
631	镰刀级
632	黑鸟级
633	星空级
634	送葬者级
635	奥普克斯级豪华游轮
638	乌鸦级
639	狂暴级
640	毒蝎级
641	万王宝座级
642	灾难级
643	末日沙场级
644	台风级
645	多米尼克斯级
648	獾级
649	狐鼬级
650	涅鲁斯级
651	囤积者级
652	猛犸级
653	环绕级
654	克琉斯级
655	埃比斯级
656	米亚莫斯级
657	伊特龙级MKV
671	俄洛巴斯级
672	加达里穿梭机
683	矮脚鸡级蓝图
684	秃鹫级蓝图
685	狮鹫级蓝图
686	鱼鹰级蓝图
